,index,name,count,ICD-10 Chapter,ICD-10 Chapter (short),color,ICD code,ICD Category
0,13,A00 Cholera,22.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A00,1
1,14,A01 Typhoid and paratyphoid fevers,132.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A01,1
2,15,A02 Other salmonella infections,622.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A02,1
3,16,A03 Shigellosis,170.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A03,1
4,17,A04 Other bacterial intestinal infections,6494.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A04,1
5,18,A05 Other bacterial foodborne intoxications,305.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A05,1
6,19,A06 Amoebiasis,98.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A06,1
7,20,A07 Other protozoal intestinal diseases,401.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A07,1
8,21,A08 Viral and other specified intestinal infections,4384.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A08,1
9,22,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,17287.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A09,1
10,23,"A15 Respiratory tuberculosis, bacteriologically and histologically confirmed",2176.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A15,1
11,24,"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",528.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A16,1
12,25,A17 Tuberculosis of nervous system,13.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A17,1
13,26,A18 Tuberculosis of other organs,156.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A18,1
14,27,A19 Miliary tuberculosis,16.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A19,1
15,28,A20 Plague,6.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A20,1
16,29,A22 Anthrax,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A22,1
17,30,A23 Brucellosis,27.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A23,1
18,31,A24 Glanders and melioidosis,1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A24,1
19,32,A25 Rat-bite fevers,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A25,1
20,33,A26 Erysipeloid,11.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A26,1
21,34,A27 Leptospirosis,25.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A27,1
22,35,"A28 Other zoonotic bacterial diseases, not elsewhere classified",45.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A28,1
23,36,A30 Leprosy [hansen's disease],2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A30,1
24,37,A31 Infection due to other mycobacteria,107.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A31,1
25,38,A32 Listeriosis,20.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A32,1
26,39,A33 Tetanus neonatorum,1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A33,1
27,40,A35 Other tetanus,98.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A35,1
28,41,A36 Diphtheria,118.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A36,1
29,42,A37 Whooping cough,1699.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A37,1
30,43,A38 Scarlet fever,1061.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A38,1
31,44,A39 Meningococcal infection,86.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A39,1
32,45,A40 Streptococcal septicaemia,575.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A40,1
33,46,A41 Other septicaemia,10621.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A41,1
34,47,A42 Actinomycosis,171.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A42,1
35,48,A43 Nocardiosis,2.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A43,1
36,49,A44 Bartonellosis,1.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A44,1
37,50,A46 Erysipelas,255.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A46,1
38,51,"A48 Other bacterial diseases, not elsewhere classified",175.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,A48,1
